Text;Randomized Trial? (Predicted);Multicentric (Predicted);Sample Size (planned) reported? (Predicted);Sample Size (planned) (Predicted);Follow-up duration (median, months) reported? (Predicted);Follow-up duration (median, months) (Predicted);Tumor Type - NSCLC? (Predicted);Tumor Type - Prostate Cancer? (Predicted);Tumor Type - HNSCC? (Predicted);Tumor Type - Glioblastoma? (Predicted);Tumor Stage at Inclusion - Localized? (Predicted);Tumor Stage at Incluion - Locally Advanced? (Predicted);Tumor Stage at Inclusion - Oligometastatic? (Predicted);Tumor Stage at Inclusion - Metastatic? (Predicted);Tumor Stage at Inclusion - Recurrent? (Predicted);Cancer Histology-specific? (Predicted);Number of Patients reported? (Predicted);Number of Patients (Predicted);Inclusion of Older Adults (>70) (Predicted);Biomarker-selected population? (Predicted);Radiotherapy Type - EBRT (Predicted);Radiotherapy Type - SBRT (Predicted);Radiotherapy Type - IMRT (Predicted);Radiotherapy Type - Protontherapy (Predicted);Radiotherapy Type - Brachytherapy (Predicted);Radiotherapy Type - MR-guided Radiotherapy (Predicted);Hypofractionation used? (Predicted);Radiation Dose Escalation? (Predicted);Dose per Fraction (Gy) reported? (Predicted);Dose per Fraction (Gy) (Predicted);Total Dose (Gy) reported? (Predicted);Total Dose (Gy) (Predicted);Image Guidance Used - MRI? (Predicted);Image Guidance Used - PET? (Predicted);Concurrent Systemic Therapy? (Predicted);Systemic Therapy used - Chemotherapy? (Predicted);Systemic Therapy used - Immunotherapy? (Predicted);Systemic Therapy used - Targeted Therapy? (Predicted);Systemic Therapy used - Hormonal Therapy? (Predicted);Primary Endpoint Type? (Predicted);Hazard Ratio reported? (Predicted);Hazard Ratio (Predicted);Biomarker Endpoint Included (Predicted);Use of Advanced Imaging? (Predicted);Use of Omics? (Predicted);New Technology Introduced? (Predicted);New Technology Validated? (Predicted)
"A Phase I Trial of Hypofractionated Proton Radiation Therapy With Cisplatin and Etoposide Followed by Surgery in Stage III Non-Small Cell Lung CancerThis research study is looking at an alternative way of delivering radiation therapy with protons. Protons are tiny particles with a positive charge that can be controlled to travel a certain distance and stop inside the body. In theory, this allows better control of where the radiation dose is delivered as compared to photons. Information from other research studies suggests that proton radiation may help to reduce unwanted side effects from radiation and allow an increase in radiation dose that increase the odds of tumor killing.

The purpose of this study is to determine the safest dose of proton radiation therapy to give in combination with standard chemotherapy in participants with Non-Small Cell Lung Cancer (NSCLC).Proton radiation will be delivered daily Monday through Friday for 5 weeks. Study therapy will be give as an outpatient at the Francis H. Burr Proton Center at Massachusetts General Hospital.

During the weeks that subjects receive radiation, they will also receive 2 cycles of chemotherapy. Each cycle will last 28 days.

Cisplatin will be give as an IV infusion over 30-60 minutes or 1-2 hours on Days 1 and 8 of Cycles 1 and 2.

Etoposide will be given as an IV infusion over 60 minutes on Days 1, 2, 3, 4, 5 of Cycles 1 and 2.

After radiation and 2 cycles of chemotherapy are completed, subjects may have surgery to remove their tumor.

Following surgery, subjects may receive another 2 cycles of chemotherapy (Cycles 3 and 4). Each cycles lasts 21 days. Cisplatin is given on Day 1. Etoposide is given on Days 1, 2, and 3.";FALSE;FALSE;FALSE;;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE
Local Non-salvage Radiotherapy for Synchronous Oligometastatic Non-small-cell Lung Cancer :A Multicenter,Randomized,Controlled,Phase 2 Study.Aggressive therapy may improve survival in synchronous oligometastatic NSCLC and the goal of this clinical trial is to assess the efficacy and safety of local definitive radiotherapy in this subset of patients.For NSCLC patients with synchronous oligometastases, first line chemotherapy or targeted therapy concurrent with non-salvage radiotherapy on metastatic or primary thoracic tumor contributed a longer progression-free survival than chemotherapy or targeted therapy alone.;TRUE;TRUE;FALSE;;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;PFS;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"A Phase II Study of Bevacizumab in Combination With Docetaxel and Radiation in Locally Advanced Squamous Cell Cancer of the Head and NeckRATIONALE: Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Bevacizumab may also stop the growth of tumor cells by blocking blood flow to the tumor. Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Giving bevacizumab together with docetaxel and radiation therapy may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving bevacizumab together with docetaxel and radiation therapy works in treating patients with stage III or stage IV head and neck cancer.OBJECTIVES:

Primary

* Determine the time to progression in patients with stage III or IV squamous cell carcinoma of the head and neck treated with bevacizumab in combination with docetaxel and radiotherapy.

Secondary

* Compare the objective response rate, locoregional control rate, duration of response, patterns of failure, and overall survival of patients treated with this regimen.
* Determine the toxicity of this regimen in these patients.

OUTLINE: Patients undergo radiotherapy once daily, 5 days a week, for 8 weeks and receive docetaxel IV over 1 hour once a week for 8 weeks. Patients also receive bevacizumab IV over 30-90 minutes once every 2 weeks for up to 1 year.

Approximately 8-10 weeks after the completion of chemoradiotherapy, patients may undergo neck dissection. Bevacizumab, which stops 8 weeks before surgery, may restart 4 weeks after surgery and continue for 9 months in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed periodically.

PROJECTED ACCRUAL: A total of 30 patients will be accrued for this study.";FALSE;FALSE;TRUE;30;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;30;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;PFS;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Single-arm, Single-center, Exploratory Phase II Clinical Study of Envafolimab Combined With Chemoradiotherapy in the Treatment of Locally Advanced pMMR/MSS Rectal CancerPreoperative radiotherapy combined with 5-fluorouracil/capecitabine is currently the standard treatment for locally advanced rectal cancer. Although this strategy effectively reduces the risk of local recurrence, it fails to effectively improve the overall survival rate of patients . The root cause is that 5-fluorouracil/capecitabine based local radiotherapy is not effective in controlling potential micrometastases. Therefore, many studies try to combine preoperative radiotherapy with more intense chemotherapy and targeted drugs at the same time, as well as induction chemotherapy before preoperative radiotherapy and consolidation chemotherapy after, in order to obtain better efficacy. However, a number of studies have shown that increasing cytotoxic drugs fail to effectively improve pathologic complete response rate (pCR) and long-term survival rate, and significantly increase therapeutic toxicity . Therefore, the idea of trying to increase the efficacy of cytotoxic drugs by accumulating them does not work.Based on the use of PD-1/PD-L1 antibody in colorectal cancer and other solid tumors, and referring to the scheme of PD-1/PD-L1 antibody combined with radiotherapy in other solid tumors, we added envafolimab to local radiotherapy for advanced rectal cancer for exploration, with a view to further improving the pCR rate and long-term survival of patients.Inclusion criteriaï¼š

1. Disease characteristics â€¢ Histologically confirmed rectal adenocarcinoma; Immunohistochemical confirmation as pMMR or/and pCR or/and NGS test as MSS;

â€¢ Tumor location within 12cm from anal margin;
* Locally advanced rectal cancer (stage II-III, i.e. cT3-4 and/or N+) as assessed by the UICC/AJCC TNM staging system (8th edition, 2017);

\* Preoperative staging method: pelvic MRI/ transrectal ultrasound combined with preoperative staging.
* No signs of intestinal obstruction; Or intestinal obstruction has been relieved after proximal colostomy surgery;
* Preoperative chest, abdominal and pelvic CT to exclude distant metastasis.
2. Patient characteristics

â€¢ Age: 18 \~75 years old;
* Activity status score: ECOG 0-1;
* Life expectancy: more than 2 years;
* Hematology: WBC\>3500Ã—106/L; PLT\>100000Ã—106/L; Hb\>10g/dL;
* Liver function: SGOT and SGPT are less than 1.5 times of normal value; Bilirubin less than 1.5mg/dL;
* Kidney function: creatinine \<1.8mg/dL;
* Other: non-pregnant or breastfeeding women; No other malignant disease (other than non-melanoma or carcinoma in situ of the cervix) within 5 years or during the same period; Does not have a mental illness that prevents informed consent; There were no other serious diseases associated with shorter survival.
* Patients or family members can understand the study protocol and are willing to participate in the study, and sign a written informed consent;
* Good patient compliance, voluntary follow-up, treatment, laboratory tests, and other research steps as scheduled.
3. Prior treatment â€¢ No previous rectal cancer surgery;

â€¢ No previous chemotherapy or radiation therapy;

â€¢ No previous biotherapy;

â€¢ Previous endocrine therapy: No restriction.

Exclusion criteriaï¼š

â€¢ CRC for microsatellite highly unstable (MSI-H) or mismatch repair protein expression deficiency (dMMR);

â€¢ Chronic hepatitis B or C with a history or active HIV infection (high copy of viral DNA);

â€¢ Autoimmune diseases;

â€¢ Other active clinical serious infections (\>NCI-CTC version 3.0);

â€¢ Stage I patients;

â€¢ Preoperative evidence of distant metastasis;

â€¢ Dysfluid, organ function decompensation;

â€¢ A history of pelvic or abdominal radiotherapy;
* Multiple primary cancers;
* Patients whose seizures require management (such as steroid or antiepileptic therapy);
* A history of other malignancies within 5 years, except for cured cervical carcinoma insitu or skin basal cell carcinoma;
* Chronic inflammatory bowel disease, intestinal obstruction; Substance abuse and medical, psychological or social conditions that may interfere with the patient's participation in the study or the evaluation of the findings;
* A known or suspected allergy to the study drug or to any drug administered in connection with this trial;
* Any unstable conditions or conditions that could compromise patient safety and compliance;

Describe the medication or treatment in detail:

1.1 Induction therapy stage (2 cycles of chemotherapy combined with immunotherapy)

1 Envafolimab: 200mg, subcutaneous injection, Q2W, 2 cycles (simultaneous administration on the first day of chemotherapy).

2mFOLFOX6: Q2W, 2 cycles: oxaliplatin 85mg/m2 intravenous infusion for 2h, day 1. Calcium folinate 400mg/m2 intravenous infusion for 2 hours, day 1. Fluorouracil was injected intravenously at 400mg/m2 on day 1, followed by 1200mg/ (m2Â·d) Ã— 2d with continuous intravenous infusion (total 2400mg/m2, infusion for 46\~48h). 1.2 Simultaneous chemoradiotherapy (long-term radiotherapy

Chemotherapy combined with immunotherapy for 3 cycles)

Radiation therapy: 50Gy/25f, 2Gy daily, 5 days a week for 5 weeks.

Body position fixation: prone position, full bladder, body fixator or vacuum bag fixation;

CT scan: Before the scan, intravenous contrast agent was injected to develop the intestine, fill the bladder, empty the intestine, and collect two sets of CT images of plain scan and enhanced phase (only plain scan images can be collected for those allergic to contrast agent).

Radiotherapy equipment: linear accelerator;

Target area and irradiation field: The target area includes the primary rectal area and lymphatic drainage area. The treatment plan is designed by IMRT radiotherapy. The target area coverage and normal tissue limit are determined by the radiotherapy doctor according to the specific conditions of the patient.

2 Capecitabine: 825mg/m2 orally (1650mg/m2/d) twice a day in the morning and evening, 5 days a week, synchronized with radiation therapy, for a total of 25 days.

3 Envafolimab: 200mg, subcutaneous injection, Q2W, 3 cycles (given on day 1, day 15, day 29 of radiotherapy).

1.3 Consolidation treatment stage (2 cycles of chemotherapy combined with immunotherapy)

1. Envafolimab: 200mg, subcutaneous injection, Q2W, 2 cycles, synchronous administration on the first day of chemotherapy.
2. mFOLFOX6: Q2W, 2 cycles: oxaliplatin 85mg/m2 intravenous infusion for 2h, day 1. Calcium folinate 400mg/m2 intravenous infusion for 2 hours, day 1. Fluorouracil was injected intravenously at 400mg/m2 on day 1, followed by 1200mg/ (m2Â·d) Ã—2d with continuous intravenous infusion (total 2400mg/m2, infusion for 46\~48h).";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;2;TRUE;50;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Phase Ib/II Study of TAS-102 Plus Radiation Therapy for the Treatment of the Liver in Patients With Hepatic Metastases From Colorectal CancerThis research study is studying a drug in combination with radiation therapy as a possible treatment for hepatic metastases from colorectal cancer.

The interventions involved in this study are:

* Trifluridine (TAS-102)
* Radiation TherapyThis is a Phase I/II clinical trial. Patients are being asked to participate in the Phase I portion of the study. A Phase I clinical trial tests the safety of an investigational intervention and also tries to define the appropriate dose of the investigational drug to use for further studies. ""Investigational"" means that the intervention is being studied.

The FDA (the U.S. Food and Drug Administration) has approved Trifluridine as a treatment option for this disease.

The FDA has not approved Trifluridine in combination with radiation therapy as a treatment option for this disease.

In this research study, the investigators are determining the safest and most effective dose of Trifluridine in combination with radiation therapy in participants with hepatic metastases from colorectal cancer.

Trifluridine stops DNA replication which may prevent the cancer cells from growing. Radiation may help to kill the cancer cells while protecting normal tissue cells. Studies have shown Trifluridine may make radiation more effective.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Recurrent Prostate Cancer After Irradiation Treated With Brachytherapy Remedial: Phase 2 StudyAfter a curative treatment by radiotherapy for localized prostate cancer, between 20% and 50% of patients may have a biological relapse as a progressive re -rise of PSA. After prostate brachytherapy with low flow, this rate is between 2% and 6%. Depending on risk factors initially present, some patients will have a micro metastatic disease at the time of re-rise, but others will have a true local recurrence purely intra-prostate. Local recurrence after radiotherapy is associated with a high incidence of distant metastatic relapse and poor overall survival. For these reasons, the possibility of offering a local treatment for this selected population of patients can have a major therapeutic interest and allow changing a situation often considered palliative to the possibility of a second curative treatment.

Currently, there is no consensus regarding the optimal management of patients with purely local recurrence after prostate irradiation at first intention. When an external radiotherapy or brachytherapy is performed as first choice in a patient with prostate cancer, several remedial treatments have been proposed, with controversial results the decision-making for clinicians and for difficult patients. These main therapeutic options remedial (surgery, cryotherapy and brachytherapy) have the potential for complications such as rectal injury, impotence or incontinence Brachytherapy is a new salvage treatment being evaluated in the United States (Phase II study of the Radiation Therapy Oncology Group No. 0526). Several retrospective trials have shown very encouraging results in terms of acute toxicity and biochemical control in the short term. Thus, a team from Mount Sinai in New York recently published for the first time 10 years retrospective results with this approach. In their experience after treatment failures with external beam radiotherapy or brachytherapy, a dose of 122 Gy was delivered over 90% of the prostate gland. Doing this they observed biochemical control rates and survival specific of 54 % and 96 %, respectively at 10 years, with an hormone treatment associated (median 6 months) in 84 % of cases. Four patients had grade 3 toxicity or higher (11%). To reduce the rate of late toxicities the team from the University Of California San Francisco (UCSF), tested focal brachytherapy guided by functional MRI (MRI spectroscopy) to re-treat local recurrence after initial brachytherapy as monotherapy or boost. By delivering 144 Gy on recidivism objectified on MRI, the authors observed that a minimal dose of 37Gy covered 90 % of the prostate gland to treat the risk of microscopic disease. Doing this, the rate of observed toxicities and biochemical control appeared encouraging, with a median follow-up of 2 years, since no grade 3 toxicity was observed and 74% of patients achieved a PSA nadir \<0.5 ng / mL without associated hormone. In case of external radiation or brachytherapy, several attempts proposed to associate an injection of hyaluronic acid gel to the prostate - rectum interface to spare healthy tissue irradiated and thus reduce the rate of radiation proctitis. The feasibility of implementing this gel has been demonstrated in patients with non- irradiated tissues. No inherent toxicity of the injection of hyaluronic acid gel has been described after prostate brachytherapy first line. The feasibility of this injection remains unproven to date on patients previously irradiated externally or by brachytherapy. We hypothesize that the risk of radiation proctitis and fistulas front prostate could be reduced using this technique in this indication.

We propose to carry out a French prospective multicenter phase II trial combining brachytherapy remedial with an injection of hyaluronic acid after surgery to reduce the risk of radiation proctitis and / or recto -urinary fistula in a patient population hyper- selected with a high probability of isolated local recurrence.";FALSE;TRUE;FALSE;;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;TRUE;FALSE;TRUE;FALSE
"A Safety Run-in/Randomized Phase II Trial of EMD 121974 in Conjunction With Concomitant and Adjuvant Temozolomide With Radiation Therapy in Patients With Newly Diagnosed Glioblastoma MultiformeCilengitide may stop the growth of cancer by stopping blood flow to the tumor. Drugs used in chemotherapy, such as temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to damage tumor cells. Giving cilengitide together with temozolomide and radiation therapy may kill more tumor cells. This randomized phase I/II trial is studying the side effects and best dose of cilengitide when given together with temozolomide and radiation therapy and to compare how well they work in treating patients with newly diagnosed glioblastoma multiformePRIMARY OBJECTIVES:

I. To assess the safety profile of EMD 121974 (cilengitide) when administered as a one-hour infusion twice a week concurrently with concomitant and adjuvant temozolomide with radiation therapy for newly diagnosed glioblastoma multiforme. (Safety Run-In)

II. To estimate overall survival in newly diagnosed patients with glioblastoma multiforme treated with EMD 121974 concurrently with concomitant and adjuvant temozolomide with radiation therapy. (Phase II)

SECONDARY OBJECTIVES:

I. To estimate and compare overall survival between a low dose treatment group and a high dose treatment group in newly diagnosed patients with glioblastoma multiforme treated with EMD 121974 concurrently with concomitant and adjuvant temozolomide with radiation therapy. (Phase II)

II. To determine the toxicity of EMD 121974 (cilengitide) when it is administered in conjunction with concomitant and adjuvant temozolomide with radiation therapy in patients with newly diagnosed glioblastoma multiforme. (Phase II)

III. To evaluate the molecular profile of individual patients and correlate molecular expression profiles with clinical outcomes. (Phase II)

IV. To characterize tumor blood volume, tumor blood flow, and permeability ratios using perfusion MR in newly diagnosed glioblastoma multiforme and follow these parameters during treatment with EMD 121974 (cilengitide). (Phase II)

OUTLINE: This is an open-label, multicenter, safety run-in study of cilengitide followed by a randomized phase II study.

Safety Run-In:

INITIATION COURSE: Patients receive cilengitide IV over 1 hour on days 1 and 4. Treatment repeats weekly for 10 weeks. Patients also receive oral temozolomide and undergo radiotherapy one hour later on days 1-5 of weeks 1-6.

MAINTENANCE COURSES: Patients receive oral temozolomide once daily on days 1-5 in courses 1-6. Patients also receive cilengitide IV on days 1, 4, 8, 11, 15, 18, 22, and 25. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.

Cohorts of 3-6 patients receive escalating doses of cilengitide (3 Pre-defined study dose levels are defined as: 500, 1000 and 2000mg). The MTD is defined as the dose preceding that at which 2 of 3 or 3 of 6 patients experience dose-limiting toxicity. If no MTD (maximum tolerable dose) is defined through three steps of the dose escalation process, we will pursue the phase II safety/efficacy study with randomized treatment allocation. Patients will be randomized into one of two pre-specified treatment dosage arms, 500mg group or 2000mg group.

PHASE II:

Patients are stratified according to age (50 and under vs over 50), Karnofsky performance score (60%-80% vs 90%-100%), and tumor status (measurable vs nonmeasurable). Patients are randomized to 1 of 2 treatment arms.

ARM I: Patients receive radiotherapy and temozolomide as in safety run-in initiation course and cilengitide at the lower dose as in safety run-in initiation and maintenance courses.

ARM II: Patients receive radiotherapy and temozolomide as in safety run-in initiation course and cilengitide at the higher dose as in safety run-in initiation and maintenance courses.

Patients are followed every 2 months.

PROJECTED ACCRUAL: A total of 9-112 patients (9-18 for safety run-in and 94 \[47 per treatment arm\] for phase II) will be accrued for this study within 1.5-37 months";TRUE;TRUE;TRUE;112;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;112;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;OS;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
"A Phase II Randomized Study Assessing the Efficacy of Proton Craniospinal Irradiation (CSI) vs Involved-field Photon Radiation Therapy for Leptomeningeal Metastases From Solid Tumor MalignanciesThe investigators are doing this study to find out whether proton craniospinal radiation therapy (proton CSI) or partial photon radiation therapy is more effective at preventing leptomeningeal metastasis from worsening. The proton CSI targets the entire space containing the CSF, brain, and spinal fluid. The partial photon radiation therapy treats only areas where the patient is having symptoms, such as the entire brain or part of the spine. The investigators also want to find out if proton CSI improves the symptoms patients may be experiencing because of the leptomeningeal metastasis. In addition, the investigators will compare the side effects of proton CSI and partial photon therapy.

Patients undergoing proton beam RT will receive their treatment at the New York Proton Center in New York, NY. As part of the New York Proton Consortium, MSK has contracted for its faculty to treat patients at the New York Proton Center. If it is unfeasible for patients to get treated at NYPC, patients will have the decision to get treated at ProCure in Summerset, NJ.";TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"A Phase I/II Trial of PARP Inhibition, Radiation, and Immunotherapy in Patients With Extensive-Stage Small Cell Lung Cancer (ES-SCLC) - PRIO TrialThis phase I/II trials investigates the side effects of olaparib and durvalumab and how well it works in combination with carboplatin, etoposide, and/or radiation therapy in treating patients with extensive stage-small cell lung cancer (ES-SCLC) who have not received treatment for their disease. PARPs are proteins that help repair DNA mutations. PARP inhibitors, such as olaparib, can keep PARP from working, so tumor cells can't repair themselves, and they may stop growing. Immunotherapy with monoclonal antibodies, such as durvalumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Chemotherapy drugs, such as carboplatin and etoposide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Radiation therapy uses high energy sources to kill tumor cells and shrink tumors. Giving olaparib and durvalumab together with carboplatin, etoposide, and/or radiation therapy may help treat patients with ES-SCLC.PRIMARY OBJECTIVE:

I. To assess the toxicity and feasibility of sequential treatment with olaparib, thoracic radiotherapy (TRT)/durvalumab, and olaparib/durvalumab for consolidation and maintenance therapy in patients status post (s/p) chemoimmunotherapy for ES-SCLC.

SECONDARY OBJECTIVE:

I. To assess the efficacy of sequential treatment with olaparib, TRT/durvalumab, and olaparib/durvalumab for consolidation and maintenance therapy in patients s/p chemoimmunotherapy for ES-SCLC.

EXPLORATORY OBJECTIVES:

I. Perform a comparative analysis of patient clinical outcome according to tumor biomarkers in circulating tumor cell (CTC), blood samples and tumor tissue, such as SLFN11 expression H- scores and stratifying tumors as SLFN11 positive or negative on the basis of H-score \>= 1.

II. Perform a comparative analysis of patient clinical outcome according to immune biomarkers in blood and tumor tissue, such as PD-L1 immunohistochemistry (IHC) 22C3 pharmDx assay and stratifying tumors as PD-L1 positive or negative on the basis of PD-L1 combined positive score \>= 1% in patients treated with anti- PD-L1 therapy.

III. Perform whole exome sequencing (WES) and methylation profiling on tumor samples and from circulating-free deoxyribonucleic acid (cfDNA) to evaluate whether tumor mutational burden (TMB) or specific genomic alterations are associated with improved progression free survival (PFS) with the trial regimen.

IV. Gene and protein expression of tumor tissue through ribonucleic acid (RNA) sequencing and Reverse Phase Protein Array (RPPA).

V. Quantify pre-treatment, pre- and post-olaparib, post-TRT, and at progression levels for blood-based biomarkers, such as cytokines associated with immune activation (e.g., STING pathway cytokines, CXCL10 and CCL5) to establish correlations with PFS and overall survival (OS).

VI. Using longitudinal blood samples (e.g. pre-treatment, pre- and post-olaparib, post-TRT, and at progression), assess CTC number, CTC (single-cell) biomarker expression (such as SLFN11 and PD-L1 expression), and immune profile of PBMCs.

VIa. Correlate baseline expression or changes with PFS and OS. VII. Assess pre- and post-olaparib, and at progression tumor tissue for immune markers, such as CD8+ T cells, through multiplex IHC.

VIII. Assessment of single-cell biomarker expression on CTCs and tumor tissue (such as SLFN11 and PD-L1 expression) and immune profile of peripheral blood mononuclear cells (PBMCs).

VIIIa. Correlate pre-treatment expression or changes with PFS and/or OS. IX. Generation of CTC-derived and/or biopsy-derived xenograft models from individual patients

OUTLINE:

CHEMO-IMMUNOTHERAPY: Patients receive durvalumab intravenously (IV) over 60 minutes on day 1, carboplatin IV over 60 minutes on day 1, etoposide IV over 60 minutes on days 1-3. Treatment repeats every 21 days for up to 4 cycles in the absence of disease progression or unacceptable toxicity. Patients with response or stable disease (SD) after cycle 4 and are candidates for TRT proceed to Induction. Patients that are not candidates for TRT proceed to Single-Agent Maintenance.

INDUCTION (WEEKS 13-14): Patients receive olaparib orally (PO) twice daily (BID) on days 1-11 in the absence of disease progression or unacceptable toxicity.

IMMUNORADIATION (WEEKS 15-18): Patients receive durvalumab IV over 60 minutes on day 1. Patients also undergo consolidative TRT daily on days 1-5 and 8-12 in the absence of disease progression or unacceptable toxicity.

MAINTENANCE (WEEKS 19 AND BEYOND): Patients without progressive disease receive durvalumab IV over 60 minutes on day 1, and olaparib PO BID. Cycles repeat every 28 days in the absence of disease progression or unacceptable toxicity.

SINGLE-AGENT MAINTENANCE: Patients receive durvalumab IV over 60 minutes on day 1. Cycles repeat every 28 days in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed for 30 days, then every 3 months.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Tox;FALSE;;TRUE;FALSE;TRUE;FALSE;FALSE
"Induction Chemotherapy for Locally Advanced Esophageal Cancer: A Phase II StudyEvaluate mFOLFOX6 (5-Fluorouracil, Leucovorin and Oxaliplatin) chemotherapy as induction treatment prior to standard neoadjuvant chemoradiation to decrease the rate of distant recurrence among patients with locally advanced esophageal cancer.The goal of the study is to evaluate mFOLFOX6 (5-Fluorouracil, Leucovorin and Oxaliplatin) chemotherapy as induction treatment prior to standard neoadjuvant chemoradiation to decrease the rate of distant recurrence among patients with locally advanced esophageal cancer. mFOLFOX6 is frequently used to treat metastatic esophageal cancer because of its high response rate in this setting. It has shown promising efficacy in several trials of patients with advanced esophageal cancer and it is the most commonly used combination regimen for this group of patients in the United States.

The investigators propose treating a sample of 40 patients with 3 cycles of induction mFOLFOX6 chemotherapy over six weeks followed by standard chemoradiation and surgery. The investigators hypothesize that patients who undergo induction chemotherapy with mFOLFOX6 prior to standard neoadjuvant chemoradiation and surgery will have a lower rate of distant disease recurrence compared to standard neoadjuvant chemoradiation and surgery.";FALSE;FALSE;TRUE;40;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;40;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
